date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
7/30/2015,9206,6911,4449897,643.8861236,,1.21335E+11,,,,,0,,0.027211978,39311.09375,19.91490396,,39311.09375,,,,,,,,72049301.59,0,0,0,,,,,,0,,,,
7/31/2015,424,6863,3994458,582.0279761,,6.02942E+11,,,,,0,,0.04793358,36191.71875,18.32543101,,36191.71875,,,,,,,,72085493.31,0,0,0,,,,,,0,,,,
8/1/2015,413,5293,3044344,575.1641791,,8.87254E+11,,,,,0,,0.054347463,27702.1875,14.02142613,,27702.1875,,,,,,,,72113195.5,0,0,0,,,,,,0,,,,
8/2/2015,432,5358,3112348,580.8786861,,1.02025E+12,,,,,0,,0.063286658,28227.1875,14.28156398,,28227.1875,,,,,,,,72141422.69,0,0,0,,,,,,0,,,,
8/3/2015,444,5280,3099953,587.1123106,,1.12584E+12,,,,,0,,0.068812831,27976.71875,14.14935198,,27976.71875,,,,,,,,72169399.41,0,0,0,,,,,,0,,,,
8/4/2015,411,5368,3150854,586.9698212,,1.21659E+12,,,,,0,,0.075580788,28478.4375,14.39741721,,28478.4375,,,,,,,,72197877.84,0,0,0,,,,,,0,,,,
8/5/2015,411,5235,3030780,578.9455587,,1.32784E+12,,,,,0,,0.080467568,27528.59375,13.9119144,,27528.59375,,,,,,,,72225406.44,0,0,0,,,,,,0,,,,
8/6/2015,396,5116,2986060,583.6708366,,1.38085E+12,,,,,0,,0.081763164,27075.46875,13.67779463,,27075.46875,,,,,,,,72252481.91,0,0,0,,,,,,0,,,,
8/7/2015,1390,5189,3282693,632.6253613,,1.47084E+12,0.018204104,,0.001320779,,37.31841351,,0.08834193,27437.65625,13.85550038,,27437.65625,,37.84427133,,,,,,72279919.56,2050,2018,1909930.275,,995.3670567,,16.1041824,,2008650.72,,,,
8/8/2015,1208,5256,3508878,667.5947489,86768712.52,1.58612E+12,0.023637615,0.028364902,0.001243194,0.001491821,68.09997007,81.71928309,0.096483107,27943.4375,14.10545723,33531.84557,27943.4375,33531.84557,5.38980006,,0.004589745,1.19999,,,72307863,2881,2663,13415685.6,16098688.56,5101.056788,6121.217135,1,1.19999,13584114.23,16300801.23,,,
8/9/2015,1113,5123,3167541,618.2980675,86801326.19,1.70948E+12,0.010608691,0.012730323,0.001223011,0.0014676,14.0989497,16.91859865,0.101359674,27178.28125,13.71406234,32613.66572,27178.28125,32613.66572,70.37407159,,0.004505448,1.19999,,,72335041.28,1329,1266,1027864.946,1233427.656,921.2871762,1105.535399,12.99939719,15.59914663,1166349.565,1399607.815,,,
8/10/2015,1430,5255,3316883,631.1861085,86834706.72,1.8377E+12,0.015299531,0.018359284,0.001228262,0.001473903,31.16514444,37.39786167,0.111855484,27817.34375,14.03113512,33380.53433,27817.34375,33380.53433,49.82435968,,0.004529481,1.19999,,,72362858.62,2037,2078,1452359.029,1742816.311,804.82935,965.7871717,0.5983403,0.718002377,1672435.389,2006905.743,,,
8/11/2015,2697,5280,3653834,692.0140152,71666977.57,2.03639E+12,0.002279155,0.002256364,0.001217965,0.001205785,11.31144859,11.1983341,0.124449902,28027.8125,14.13182248,27747.53438,28027.8125,27747.53438,60.22035209,,0.00364746,0.99,,,72390886.44,4963,5047,1202100.02,1190079.02,294.6817505,291.734933,0.0545382,0.053992818,1487258.795,1472386.207,,,
8/12/2015,1219,5124,3348157,653.4264247,93274715.5,2.20708E+12,0.016005399,0.020614954,0.00124407,0.001602362,32.5869924,41.97204622,0.130915032,27370.9375,13.7954054,35253.7675,27370.9375,35253.7675,113.7612635,,0.004803392,1.288,,,72418257.37,2036,1968,636580.987,819916.3112,382.2810121,492.3779436,10,12.88,752329.0318,968999.793,,,
8/13/2015,1606,5286,3519008,665.7222853,136547211.3,2.33698E+12,0.008771699,0.016532899,0.001210096,0.002280788,24.92916911,46.98649794,0.143056636,28268.125,14.24204343,53279.762,28268.125,53279.762,46.93799647,,0.007120739,1.8848,,,72446525.5,2842,2792,1543451.594,2909097.565,639.9636182,1206.203428,9.995,18.838576,1786778.422,3367719.97,,,
8/14/2015,1893,5809,3832496,659.7514202,130100550.6,2.67125E+12,0.004522632,0.008118324,0.001210111,0.002172202,14.35483411,25.76756118,0.179594595,31106.71875,15.66545705,55837.93391,31106.71875,55837.93391,36.93541976,,0.006739268,1.795044162,,,72477632.22,3174,3085,1962279.912,3522379.1,745.3638133,1337.960962,12.18635044,21.87503722,2299447.364,4127609.568,,,
8/15/2015,1601,5382,3435520,638.3351914,129222078.7,3.37803E+12,0.003868911,0.00689526,0.001209761,0.002156063,8.836593028,15.74877441,0.210530125,28512.65625,14.35343108,50815.89588,28512.65625,50815.89588,9.60305969,,0.006804016,1.782222443,,,72506144.87,2284,2202,7550317.003,13456344.41,3507.792283,6251.666132,10.96951534,19.55011643,7724158.607,13766168.82,,,
8/16/2015,1542,5132,3287835,640.6537412,111198807.2,3.63163E+12,0.002736573,0.004195368,0.001207801,0.001851648,6.677237925,10.23669836,0.215717629,27094.53125,13.634444,41537.91532,27094.53125,41537.91532,47.62980327,,0.005920785,1.533073776,,,72533239.41,2440,2381,1522854.063,2334647.627,724.6076911,1110.877049,8.27630383,12.68818436,1725290.912,2644998.253,,,
8/17/2015,1522,5347,3393782,634.7076866,94067093.69,3.90802E+12,0.003042521,0.003944263,0.001210228,0.001568915,7.64281184,9.907988413,0.241920988,28118.90625,14.14444412,36452.78768,28118.90625,36452.78768,33.36085742,,0.005024546,1.29638,,,72561358.31,2512,2520,2175044.766,2819684.533,1351.345953,1751.857866,8.259374649,10.70728811,3405391.801,4414681.823,,,
8/18/2015,1544,4948,3208720,648.4882781,78698415.5,4.37769E+12,0.004773886,0.005175783,0.001205693,0.001307196,11.90607134,12.90840264,0.250772424,26162.8125,13.15574139,28365.36993,26162.8125,28365.36993,53.56374159,,0.004975938,1.084186569,,,72587521.12,2494,2498,1355161.514,1469247.912,787.3004869,853.5806138,7.878471789,8.541733299,1966676.616,2132244.373,,,
8/19/2015,1592,5192,3392043,653.3210709,90042355.91,4.41957E+12,0.004753836,0.005894756,0.001214039,0.001505408,15.43095067,19.13437883,0.265572407,27282.03125,13.71337658,33829.71875,27282.03125,33829.71875,70.25608785,,0.005457308,1.24,,,72614803.16,3246,3214,1033573.109,1281630.655,449.8005842,557.7527244,5.856575764,7.262153947,1445659.078,1792617.256,,,
8/20/2015,1378,4024,2615975,650.0931909,110537252,4.46911E+12,0.002976798,0.004530092,0.001184488,0.001802553,6.855566943,10.43280177,0.208179649,21057.03125,10.58129743,32044.59016,21057.03125,32044.59016,181.9441914,,0.00646134,1.5218,,,72635860.19,2303,2262,399220.5501,607533.8332,209.6533438,319.0504585,5,7.609,474235.8636,721692.1372,,,
8/21/2015,1613,5088,3396674,667.5852987,104334703.9,4.41525E+12,0.002004348,0.002878004,0.00105,0.001507674,7.855041725,11.27889731,0.26000035,26690.9375,13.40744584,38324.98334,26690.9375,38324.98334,134.1970087,,0.006167853,1.43588,,,72662551.12,3919,3914,541461.7793,777474.1397,154.3511043,221.6296637,5,7.1794,604130.2223,867458.5036,,,
8/22/2015,1594,5271,3415807,648.0377537,101766142.2,4.82834E+12,0.011888006,0.016643208,0.001151962,0.001612746,42.54717183,59.56604056,0.294632621,27550.46875,13.83396208,38570.65625,27550.46875,38570.65625,165.817333,,0.006070088,1.4,,,72690101.59,3579,3592,438374.5673,613724.3943,173.8030382,243.3242535,4.412730731,6.177823023,624300.5134,874020.7187,,,
8/23/2015,1794,5013,3411809,680.5922601,98167082.24,5.13835E+12,0.001921186,0.002593601,0.00105,0.0014175,8.049767673,10.86718636,0.29808919,26255.625,13.17901981,35445.09375,26255.625,35445.09375,157.8674863,,0.005903625,1.35,,,72716357.22,4190,4107,460616.4255,621832.1744,122.9870606,166.0325318,3.93334289,5.310012902,505107.8579,681895.6081,,,
8/24/2015,1622,5184,3486486,672.5474537,90059598.59,5.17912E+12,0.002002772,0.002479512,0.00105,0.001299942,8.87628542,10.9891964,0.310769918,27333.28125,13.71479449,33839.69552,27333.28125,33839.69552,192.1937489,,0.005841026,1.23804,,,72743690.5,4432,4428,378491.449,468587.5536,105.4370116,130.5352379,3.021101795,3.740244867,466875.0874,578010.0332,,,
8/25/2015,1779,5097,3464583,679.7298411,92505038.58,5.17329E+12,0.001840819,0.002340031,0.00105,0.00133475,8.259755825,10.49971901,0.305265965,26736.09375,13.41021989,33986.65501,26736.09375,33986.65501,199.3760058,,0.005709235,1.27119,,,72770426.59,4487,4323,364990.8939,463972.7745,95.04180503,120.8161921,3.72772149,4.738642281,410865.7232,522288.3986,,,
8/26/2015,1715,5003,3345268,668.6524086,85899946.18,5.5873E+12,0.001792043,0.00211461,0.00105,0.001239,7.447729279,8.788320549,0.323633506,26137.96875,13.10550663,30842.80313,26137.96875,30842.80313,182.8334981,,0.005218544,1.18,,,72796564.56,4156,4096,398157.6971,469826.0826,109.9568945,129.7491355,2.94555479,3.475754652,450383.4397,531452.4589,,,
